Date,Payment_Mode,Volume,Value,ATS,MoM,YoY,log_volume,log_value,is_covid_shock,is_policy_change,is_festive_month,is_fy_end,MoM_Anomaly
2022-05-01,Debit,331564775.0,657999074734.01,1984.5264767163821,0.11412834189763466,29.689913480949137,19.619333748200496,27.212469362091422,0,0,0,0,0
2022-06-01,Debit,308998653.0,608847927053.9,1970.3902303221369,-6.8059467414775865,4.861158486899009,19.548847475629216,27.134834364202657,0,0,0,0,0
2022-07-01,Debit,313346528.0,645149614797.38,2058.9014306786257,1.407085421825438,-7.984515092035515,19.562820254311884,27.192748087769576,0,0,0,0,0
2022-08-01,Debit,303346938.0,621586550073.26,2049.094525797587,-3.1912241261533913,-15.46202821413547,19.530387718350756,27.155540998174473,0,0,0,0,0
2022-09-01,Debit,289937815.0,612039142274.1599,2110.932450374436,-4.42039174300154,-16.930165542718523,19.48517702691669,27.140062075377827,0,0,0,0,0
2022-10-01,Debit,296237803.0,669502936389.23,2260.018571597461,2.1728755871323724,-23.114005782869395,19.506673078258036,27.229801388011605,0,0,1,0,0
2022-11-01,Debit,260828281.00000003,555936768548.54,2131.428257768336,-11.953073389489044,-23.443795949471212,19.37937282155482,27.043920399097622,0,0,1,0,0
2022-12-01,Debit,266710246.99999997,586260395587.42,2198.117253393043,2.255110518479375,-23.779938233600816,19.401673409861477,27.097029888894962,0,1,0,0,0
2023-01-01,Debit,251009094.0,557779527468.62,2222.148682264954,-5.8869702895217095,-21.387574789222118,19.340999727515424,27.047229609186978,0,0,0,0,0
2023-02-01,Debit,226531059.99999997,496933854908.22003,2193.6676361653017,-9.751851460808037,-23.371528972807553,19.238392623728696,26.931722765470095,0,0,0,0,0
2023-03-01,Debit,238249573.0,537240158234.0,2254.946993059249,5.173027045386203,-27.256239925123836,19.28882930826193,27.00971105351855,0,0,0,1,0
2023-04-01,Debit,229538468.0,546273893523.731,2379.8794959445795,-3.6562940660548437,-30.69214410742346,19.251581189976523,27.026386323404143,0,0,0,0,0
2023-05-01,Debit,223976701.99999997,527759055929.56,2356.312291488068,-2.4230213124886935,-32.448583538465456,19.22705259548144,26.991905683034126,0,0,0,0,0
2023-06-01,Debit,210223617.0,510493468313.79,2428.3354819919687,-6.140408746620429,-31.966170415636086,19.163682364995882,26.958643679785222,0,0,0,0,0
2023-07-01,Debit,210131454.0,533131329631.37006,2537.1324448712476,-0.04384045965681871,-32.93959395650301,19.163243864271923,27.002033627818466,0,0,0,0,0
2023-08-01,Debit,207594099.99999997,526796682757.02997,2537.6283948196506,-1.2075079440510783,-31.56545394237671,19.151095288813615,26.99008050982728,0,0,0,0,0
2023-09-01,Debit,183904344.0,468664385999.52997,2548.413897169987,-11.411574799091095,-36.571107842555826,19.02992631082901,26.873152754348727,0,0,0,0,0
2023-10-01,Debit,190423479.0,521011409026.39,2736.0670635914075,3.5448510123284427,-35.71938588810018,19.064760986794614,26.97903777678322,0,0,1,0,0
2023-11-01,Debit,177165904.0,493941513621.15,2788.016782400467,-6.96215354830273,-32.075654020048546,18.99259716227116,26.92568295364582,0,0,1,0,0
2023-12-01,Debit,176815640.0,479345194042.02997,2710.988654861244,-0.19770395549698616,-33.704969348253044,18.990618165793787,26.89568683042986,0,0,0,0,0
2024-01-01,Debit,164467530.0,454865735327.00995,2765.687156163955,-6.983607332473529,-34.47746160145099,18.91822372266828,26.843268125157184,0,0,0,0,0
2024-02-01,Debit,152247458.0,414520718799.601,2722.677437409832,-7.430081791828458,-32.79179552684739,18.84101776819158,26.750388795313807,0,0,0,0,0
2024-03-01,Debit,159475140.0,447489473926.83,2806.0139901857433,4.747325239413858,-33.06382966738832,18.887398605972454,26.826918852433458,0,0,0,1,0
2024-04-01,Debit,151861489.0,439110937473.22,2891.522665586533,-4.774193018422812,-33.84050598438254,18.838479406784923,26.80801792304745,0,0,0,0,0
2024-05-01,Debit,150381658.0,435649665164.37,2896.960114406838,-0.9744610103223694,-32.8583479187045,18.82868700725569,26.800104237034798,0,0,0,0,0
2024-06-01,Debit,142393548.0,412588625352.084,2897.523315818242,-5.311891161620252,-32.26567498360568,18.7741052469269,26.74571686898272,0,0,0,0,0
2024-07-01,Debit,145655877.0,447646671920.3,3073.3169243854127,2.291065182251084,-30.683448752036902,18.79675739071015,26.827270079441362,0,0,0,0,0
